,targets,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
65,Ethiopia,40380,9295,4620,17013000,523.525,11.731000000000002,30300.0,14.778,-3.2509999999999986
9,Aruba,8076,2046,2132,3402600,30.503999999999998,0.357,6060.0,3.546,-3.194
73,Gabon,34323,6956,4522,14461050,569.888,9.395,22220.0,10.447000000000001,-2.6430000000000007
192,Timor-Leste,6057,946,1878,2551950,2.851,0.077,4040.0,2.504,-2.429
6,Antigua and Barbuda,10095,2610,140,4253250,14.945,0.175,2020.0,2.284,-2.1559999999999997
20,Benin,26247,5936,2652,11058450,88.145,0.719,12120.0,2.463,-2.065
31,Burundi,14133,3273,756,5954550,160.163,9.105,8080.0,4.372,-1.6360000000000001
160,Saint Kitts and Nevis,2019,842,659,850650,21.772,0.235,2020.0,1.836,-1.601
86,Guyana,28266,6592,4592,11909100,1054.461,41.836,18180.0,42.373,-1.1889999999999996
119,Malta,58551,12384,13630,24668850,366.717,8.266,48480.0,9.162,-0.9709999999999999
162,Saint Maarten (Dutch part),8076,1550,2136,3402600,67.233,0.16499999999999998,4040.0,1.035,-0.8799999999999999
82,Guam,4038,738,632,1701300,88.34400000000001,0.8069999999999999,2020.0,0.939,-0.855
19,Belize,12114,3190,504,5103900,21.717999999999996,3.733,6060.0,1.788,-0.639
37,Central African Republic,8076,1502,560,3402600,26.906,1.092,4040.0,1.0459999999999998,-0.4829999999999999
84,Guinea,24228,4872,3888,10207800,66.03800000000001,2.57,10100.0,1.52,-0.46900000000000003
184,Suriname,6057,1526,2220,2551950,94.90899999999999,3.21,6060.0,3.596,-0.38600000000000056
3,Andorra,12114,2537,120,5103900,51.41799999999999,0.7310000000000001,8080.0,0.883,-0.294
167,Sao Tome and Principe,2019,620,678,850650,0.832,0.012,2020.0,0.302,-0.29
166,San Marino,8076,2076,2696,3402600,90.435,1.218,4040.0,0.947,-0.224
50,Curaçao,12114,2166,3186,5103900,94.232,0.34099999999999997,8080.0,0.399,-0.18800000000000003
164,Saint Vincent and the Grenadines,2019,842,670,850650,12.0,0.001,2020.0,0.188,-0.187
163,Saint Pierre and Miquelon,4038,375,1332,1701300,2.653,0.038,4040.0,0.217,-0.179
176,Solomon Islands,4038,192,180,1701300,59.538,0.64,2020.0,0.211,-0.177
120,Marshall Islands,12114,2707,3504,5103900,33.385,0.353,8080.0,0.511,-0.15999999999999995
85,Guinea-Bissau,2019,620,624,850650,0.366,0.027,2020.0,0.065,-0.038000000000000006
22,Bhutan,6057,2185,192,2551950,7.362,0.08,4040.0,0.091,-0.031
138,Niue,2019,554,570,850650,2.306,0.024,2020.0,0.053,-0.028999999999999998
5,Anguilla,4038,440,1320,1701300,2.58,0.038,2020.0,0.002,0.0
130,Nauru,2019,36,520,850650,1.038,0.01,0.0,0.0,0.0
72,French South Antarctic Territories,4038,876,520,1701300,1.061,0.019999999999999997,0.0,0.0,0.0
27,British Virgin Islands,2019,662,92,850650,44.348,0.285,0.0,0.0,0.0
143,Palau,2019,392,585,850650,12.896,0.139,0.0,0.0,0.0
43,Christmas Islands,2019,36,162,850650,2.954,0.03,0.0,0.0,0.0
165,Samoa,16152,2892,7056,6805200,60.563,0.311,0.0,0.0,0.0
67,Federated State of Micronesia,2019,156,583,850650,318.039,3.433,0.0,0.0,0.0
200,Tuvalu,4038,898,1596,1701300,4.366,0.044000000000000004,0.0,0.0,0.0
158,Saint Barthélemy,4038,871,1304,1701300,2.383,0.057,0.0,0.0,0.0
194,Tonga,2019,620,776,850650,0.08,0.004,0.0,0.0,0.0
23,"Bonaire, Saint Eustatius and Saba",4038,584,1070,1701300,4.459,0.043000000000000003,4040.0,0.036000000000000004,0.007000000000000001
103,Kiribati,2019,36,296,850650,2.43,0.025,2020.0,0.018,0.007000000000000003
199,Turks and Caicos Islands,2019,124,796,850650,2.055,0.022,2020.0,0.003,0.019
57,Dominica,2019,842,212,850650,7.038,0.075,2020.0,0.012,0.063
136,Niger,10095,2097,2810,4253250,60.058,1.161,8080.0,0.753,0.195
80,Greenland,8076,2141,1216,3402600,90.023,2.6319999999999997,6060.0,2.156,0.46999999999999986
38,Chad,14133,3937,1036,5954550,40.763,2.859,2020.0,0.03,0.568
191,The Former Yugoslav Republic of Macedonia,58551,12639,23403,24668850,190.826,8.077,52520.0,7.321000000000001,0.605
21,Bermuda,12114,2848,360,5103900,143.286,1.534,8080.0,0.867,0.651
135,Nicaragua,40380,9039,11160,17013000,101.744,5.587,32320.0,4.8469999999999995,0.7049999999999998
24,Bosnia Herzegovina,72684,17536,2520,30623400,525.514,17.362000000000002,60600.0,16.616,0.7110000000000003
28,Brunei Darussalam,38361,8629,1824,16162350,598.336,7.228,30300.0,6.309,0.744
32,Cabo Verde,12114,2385,792,5103900,11.243,2.6819999999999995,10100.0,1.929,0.7519999999999999
182,State of Palestine,18171,3527,2475,7655850,126.921,1.875,14140.0,1.049,0.819
81,Grenada,16152,3316,2464,6805200,39.271,2.792,8080.0,1.24,1.0510000000000002
45,Comoros,10095,2121,870,4253250,19.015,6.3229999999999995,4040.0,0.682,1.262
159,Saint Helena,2019,710,654,850650,1.189,1.272,2020.0,0.004,1.268
210,Venezuela,26247,5833,11206,11058450,345.349,3.614,2020.0,0.466,1.411
175,Slovenia,82779,18158,28905,34876650,3350.5389999999998,67.76599999999999,74740.0,65.698,1.992
149,Plurinational State of Bolivia,60570,13981,2040,25519500,903.376,17.301,44440.0,14.142000000000001,3.002
146,Paraguay,48456,10498,14400,20415600,880.758,32.057,32320.0,27.519000000000002,3.1730000000000014
36,Cayman Islands,8076,2493,544,3402600,258.866,4.0200000000000005,6060.0,0.331,3.686
131,Nepal,26247,6551,6812,11058450,509.893,11.566,4040.0,0.735,3.7969999999999997
113,Luxembourg,62589,13484,13702,26370150,3181.629,30.316,48480.0,24.203,5.934000000000001
157,Rwanda,32304,8158,10336,13610400,134.59300000000002,20.984,4040.0,0.027999999999999997,8.641
128,Myanmar,28266,6610,1456,11909100,471.737,20.36,20200.0,7.922000000000001,12.259
14,Bahrain,58551,12962,1392,24668850,1478.2350000000001,30.204,28280.0,7.718999999999999,18.033
117,Maldives,42399,9495,9702,17863650,210.653,27.523,18180.0,7.003,19.183999999999997
118,Mali,44418,10000,10252,18714300,116.233,36.501,20200.0,7.046,23.101
152,Qatar,54513,12543,17118,22967550,5833.987,72.675,38380.0,30.285,25.957
71,French Polynesia,36342,8034,4644,15311700,264.94100000000003,76.134,20200.0,49.516000000000005,26.507999999999996
78,Gibraltar,6057,1758,876,2551950,444.596,132.457,6060.0,105.524,26.932999999999986
83,Guatemala,44418,8573,7040,18714300,3589.1859999999997,100.138,30300.0,70.962,27.902000000000005
121,Mauritania,24228,5289,5736,10207800,44.702999999999996,30.428,14140.0,0.7430000000000001,29.629
30,Burkina Faso,36342,7459,15372,15311700,122.691,72.184,22220.0,20.754,38.388
104,Kuwait,58551,13732,12006,24668850,4408.134,75.515,48480.0,28.606,41.644999999999996
171,Seychelles,34323,8136,11730,14461050,321.20799999999997,66.05499999999999,22220.0,12.391,53.233
122,Mauritius,44418,9934,10560,18714300,152.332,105.54499999999999,30300.0,6.018,99.074
39,Chile,82779,19560,6232,34876650,4279.162,438.608,76760.0,250.187,188.252
214,Zimbabwe,36342,9934,12888,15311700,119.597,389.072,24240.0,21.212000000000003,366.519
185,Swaziland,18171,4141,6732,7655850,40.702,735.234,10100.0,3.214,731.953
109,Lesotho,8076,3230,1704,3402600,49.946,1654.117,4040.0,8.381,1644.608
54,Democratic Republic of the Congo,42399,10391,3780,17863650,362.72900000000004,2091.171,26260.0,353.207,1690.62
213,Zambia,38361,9589,16986,16162350,576.212,2096.67,22220.0,5.912,2090.652
25,Botswana,28266,6214,1008,11909100,412.019,4603.832,18180.0,51.028,4552.487
129,Namibia,22209,4072,5676,9357150,1315.575,8862.453000000001,16160.0,236.358,8606.597000000002
41,"China, Hong Kong Special Administrative Region",86817,18506,14792,36577950,255516.29799999998,13956.243,68680.0,4226.405,9726.747000000001
