,sources,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
76,Kyrgyzstan,2019,417,643,850650,0.668,0.011,2020.0,1.048,-1.0370000000000001
143,Ukraine,46437,18492,10204,19564950,125.426,1.531,24240.0,2.0340000000000003,-0.9150000000000001
36,Croatia,42399,4011,8012,17863650,1343.623,23.674,32320.0,24.181,-0.669
16,Belarus,12114,672,2941,5103900,111.66099999999999,30.755,10100.0,31.106,-0.35200000000000153
23,Brunei Darussalam,6057,288,1924,2551950,217.777,2.25,2020.0,1.02,-0.32800000000000007
87,Mauritius,10095,2400,2267,4253250,12.312999999999999,3.536,6060.0,0.335,-0.28200000000000003
96,New Zealand,40380,11080,9842,17013000,570.9409999999999,3.347,16160.0,0.7660000000000001,-0.254
55,Georgia,12114,1608,2015,5103900,170.012,8.991000000000001,6060.0,0.426,-0.11900000000000002
91,Morocco,34323,8568,9053,14461050,67.862,2.3440000000000003,10100.0,0.774,-0.09799999999999998
32,"China, Macao Special Administrative Region",2019,446,344,850650,3.32,0.051,2020.0,0.108,-0.057
135,The Former Yugoslav Republic of Macedonia,10095,4035,2166,4253250,2.266,0.063,4040.0,0.066,-0.044
47,El Salvador,8076,888,1702,3402600,17.805,0.885,6060.0,0.254,-0.041999999999999996
11,Azerbaijan,10095,155,3018,4253250,8.822,0.05,4040.0,0.017,-0.011999999999999999
38,Cyprus,14133,1372,3208,5954550,7.996999999999999,0.038,8080.0,0.015,-0.006
60,Guyana,6057,984,2080,2551950,2594.3970000000004,41.969,2020.0,0.005,-0.003
147,Uruguay,4038,1716,1599,1701300,1.095,0.005,2020.0,0.002,-0.001
89,Mongolia,2019,496,36,850650,0.15,0.001,0.0,0.0,0.0
83,Madagascar,4038,900,377,1701300,2.854,0.388,0.0,0.0,0.0
148,Venezuela,2019,862,170,850650,2.64,0.032,0.0,0.0,0.0
92,Mozambique,4038,1016,1459,1701300,2.547,0.064,0.0,0.0,0.0
79,Lebanon,10095,2110,1589,4253250,26.994,3.4219999999999997,0.0,0.0,0.0
85,Mali,2019,466,854,850650,0.957,3.0,0.0,0.0,0.0
77,Lao People's Dem. Rep.,2019,418,124,850650,0.087,0.001,2020.0,0.001,0.0
80,Lesotho,2019,426,710,850650,0.166,0.017,0.0,0.0,0.0
120,Saudi Arabia,6057,2046,1454,2551950,40.916,21.064,0.0,0.0,0.0
95,New Caledonia,2019,540,826,850650,1.778,0.005,0.0,0.0,0.0
119,Saint Lucia,8076,2648,1788,3402600,44.833,0.364,0.0,0.0,0.0
118,Saint Kitts and Nevis,2019,659,842,850650,43.487,0.702,0.0,0.0,0.0
117,Saint Helena,2019,654,112,850650,0.2,0.001,0.0,0.0,0.0
116,Rwanda,4038,1292,288,1701300,44.702,47.031,0.0,0.0,0.0
126,Solomon Islands,2019,90,757,850650,0.396,0.001,0.0,0.0,0.0
113,Republic of Moldova,2019,498,440,850650,0.159,0.004,0.0,0.0,0.0
130,Suriname,2019,740,328,850650,4.878,0.179,0.0,0.0,0.0
131,Swaziland,8076,2992,1576,3402600,1.7930000000000001,0.216,0.0,0.0,0.0
108,Plurinational State of Bolivia,2019,68,842,850650,2.05,0.043,0.0,0.0,0.0
105,Paraguay,2019,600,76,850650,0.1,0.001,0.0,0.0,0.0
104,Papua New Guinea,2019,598,702,850650,2.185,0.09,0.0,0.0,0.0
102,Pakistan,6057,1758,1691,2551950,0.641,0.055,0.0,0.0,0.0
136,Timor-Leste,2019,626,616,850650,0.025,0.009,0.0,0.0,0.0
121,Senegal,10095,3430,3882,4253250,22.157999999999998,16.084,0.0,0.0,0.0
97,Nicaragua,2019,558,484,850650,0.1,0.023,0.0,0.0,0.0
137,Togo,2019,768,566,850650,0.503,0.102,0.0,0.0,0.0
98,Nigeria,6057,1698,876,2551950,2.596,0.246,0.0,0.0,0.0
